類・品目,持家の帰属家賃を除く総合
Group/Item,"All items, less imputed rent"
類・品目符号(Group/Item code),0163
含類総連番(Serial number),739
ウエイト(Weight),209049379
ウエイト１万分比(Weight per 10000),8146
198302,82.4
198303,82.9
198304,83.0
198305,83.8
198306,83.2
198307,83.0
198308,82.9
198309,83.7
198310,84.5
198311,84.4
198312,84.0
198401,84.5
198402,85.3
198403,85.5
198404,85.7
198405,86.0
198406,85.1
198407,85.4
198408,84.7
198409,86.0
198410,86.6
198411,86.2
198412,86.4
198501,87.0
198502,86.6
198503,87.1
198504,87.5
198505,87.6
198506,87.6
198507,88.0
198508,87.6
198509,87.9
198510,88.6
198511,87.8
198512,88.0
198601,88.5
198602,88.4
198603,88.3
198604,88.7
198605,88.8
198606,88.1
198607,88.0
198608,87.7
198609,88.2
198610,88.2
198611,87.9
198612,87.8
198701,87.5
198702,87.3
198703,87.8
198704,88.6
198705,88.7
198706,88.6
198707,88.0
198708,88.0
198709,88.8
198710,88.9
198711,88.5
198712,88.6
198801,88.4
198802,88.3
198803,88.7
198804,89.1
198805,89.0
198806,88.8
198807,88.7
198808,88.7
198809,89.7
198810,90.5
198811,90.1
198812,89.7
198901,89.7
198902,89.5
198903,90.0
198904,91.4
198905,92.0
198906,91.8
198907,91.6
198908,91.4
198909,92.3
198910,93.1
198911,92.2
198912,92.3
199001,92.7
199002,92.9
199003,93.4
199004,94.1
199005,94.7
199006,94.2
199007,94.1
199008,94.3
199009,94.9
199010,95.8
199011,95.6
199012,95.6
199101,96.5
199102,96.2
199103,96.7
199104,97.1
199105,97.6
199106,97.2
199107,97.2
199108,97.5
199109,97.6
199110,98.7
199111,99.1
199112,98.4
199201,98.3
199202,98.1
199203,98.6
199204,99.6
199205,99.7
199206,99.6
199207,99.2
199208,99.3
199209,99.7
199210,99.7
199211,99.3
199212,99.1
199301,99.1
199302,99.2
199303,99.6
199304,100.1
199305,100.3
199306,100.1
199307,100.4
199308,100.6
199309,100.6
199310,100.5
199311,99.7
199312,99.8
199401,100.0
199402,100.1
199403,100.6
199404,100.5
199405,100.6
199406,100.4
199407,99.7
199408,100.3
199409,100.6
199410,101.2
199411,100.8
199412,100.3
199501,100.4
199502,100.0
199503,100.0
199504,100.2
199505,100.4
199506,100.2
199507,99.6
199508,99.8
199509,100.6
199510,100.2
199511,99.8
199512,99.9
199601,99.9
199602,99.8
199603,99.9
199604,100.5
199605,100.7
199606,100.2
199607,100.2
199608,99.9
199609,100.1
199610,100.3
199611,99.9
199612,100.1
199701,99.9
199702,99.8
199703,99.8
199704,101.9
199705,102.1
199706,102.2
199707,101.7
199708,101.7
199709,102.6
199710,102.9
199711,102.1
199712,101.9
199801,102.1
199802,102.0
199803,102.3
199804,102.6
199805,103.0
199806,102.5
199807,101.5
199808,101.5
199809,102.5
199810,103.4
199811,103.2
199812,102.9
199901,102.2
199902,101.6
199903,101.8
199904,102.2
199905,102.3
199906,101.9
199907,101.3
199908,101.7
199909,102.1
199910,102.1
199911,101.5
199912,101.1
200001,100.8
200002,100.5
200003,100.8
200004,101.1
200005,101.2
200006,100.9
200007,100.7
200008,100.9
200009,100.9
200010,100.7
200011,100.4
200012,100.6
200101,100.6
200102,100.0
200103,99.9
200104,100.2
200105,100.3
200106,100.0
200107,99.7
200108,100.1
200109,99.8
200110,99.7
200111,99.1
200112,99.0
200201,98.7
200202,98.1
200203,98.5
200204,98.8
200205,99.2
200206,99.1
200207,98.8
200208,99.1
200209,99.1
200210,99.0
200211,99.0
200212,98.9
200301,98.5
200302,98.1
200303,98.4
200304,98.8
200305,98.9
200306,98.8
200307,98.3
200308,98.6
200309,98.7
200310,98.7
200311,98.2
200312,98.5
200401,98.0
200402,98.0
200403,98.4
200404,98.5
200405,98.7
200406,98.8
200407,98.2
200408,98.5
200409,98.6
200410,99.1
200411,98.9
200412,98.5
200501,98.0
200502,97.7
200503,98.1
200504,98.2
200505,98.4
200506,97.9
200507,97.7
200508,97.7
200509,97.9
200510,98.0
200511,97.6
200512,97.7
200601,97.8
200602,97.3
200603,97.7
200604,97.9
200605,98.3
200606,98.3
200607,97.8
200608,98.6
200609,98.6
200610,98.5
200611,97.9
200612,98.0
200701,97.7
200702,97.2
200703,97.7
200704,98.1
200705,98.3
200706,98.0
200707,97.7
200708,98.3
200709,98.4
200710,98.5
200711,98.1
200712,98.3
200801,98.0
200802,97.7
200803,98.4
200804,98.8
200805,99.2
200806,99.5
200807,99.4
200808,99.6
200809,99.9
200810,99.9
200811,99.3
200812,99.2
200901,98.7
200902,98.4
200903,98.7
200904,98.7
200905,98.5
200906,98.0
200907,97.4
200908,97.8
200909,97.7
200910,97.1
200911,96.9
200912,96.8
201001,96.6
201002,96.6
201003,97.2
201004,97.5
201005,97.2
201006,97.0
201007,96.2
201008,96.6
201009,96.8
201010,97.4
201011,97.1
201012,96.6
201101,96.1
201102,96.2
201103,96.5
201104,96.7
201105,96.6
201106,96.3
201107,96.3
201108,96.4
201109,96.6
201110,96.9
201111,96.1
201112,96.2
201201,96.0
201202,96.1
201203,96.6
201204,96.5
201205,96.2
201206,95.8
201207,95.6
201208,95.7
201209,95.9
201210,96.1
201211,95.6
201212,95.7
201301,95.5
201302,95.1
201303,95.4
201304,95.9
201305,96.0
201306,95.9
201307,96.2
201308,96.5
201309,96.7
201310,96.9
201311,96.9
201312,97.0
201401,96.5
201402,96.6
201403,97.1
201404,99.5
201405,99.9
201406,99.6
201407,99.6
201408,99.9
201409,100.2
201410,100.0
201411,99.5
201412,99.7
201501,99.5
201502,99.4
201503,99.8
201504,100.5
201505,100.6
201506,100.3
201507,99.9
201508,100.1
201509,100.2
201510,100.2
201511,99.7
201512,99.8
201601,99.2
201602,99.6
201603,99.9
201604,100.0
201605,100.0
201606,99.8
201607,99.5
201608,99.6
201609,99.7
201610,100.5
201611,100.4
201612,100.0
201701,99.5
201702,99.4
201703,99.5
201704,100.1
201705,100.3
201706,100.0
201707,99.8
201708,100.2
201709,100.3
201710,100.4
201711,100.8
201712,101.2
201801,101.1
201802,101.1
201803,100.8
201804,100.7
201805,100.8
201806,100.8
201807,100.8
201808,101.7
201809,101.7
201810,102.1
201811,101.8
201812,101.6
201901,101.6
201902,101.8
201903,101.7
201904,102.2
201905,102.0
201906,102.0
201907,101.9
201908,102.3
201909,102.2
201910,102.7
201911,102.7
201912,102.8
202001,102.4
202002,102.2
202003,102.2
202004,102.5
202005,102.5
202006,102.3
202007,102.5
202008,102.6
202009,102.4
202010,102.3
202011,101.7
202012,101.1
